Year,Region,Quarter,Tourist_Arrivals
2019,ASIA,Total," 23,921,457 "
2019,EUROPE,Total," 1,181,304 "
2019,OCEANIA,Total," 425,497 "
2019,OTHERS,Total," 2,463 "
2020,AFRICA,Quarter1,"27,856"
2020,AMERICAS,Quarter1,"75,778"
2020,ASIA,Quarter1,"3,790,852"
2020,EUROPE,Quarter1,"256,716"
2020,OCEANIA,Quarter1,"81,737"
2020,OTHERS,Quarter1,516
2020,AFRICA,Quarter2,44
2020,AMERICAS,Quarter2,106
2020,ASIA,Quarter2,"18,963"
2020,EUROPE,Quarter2,354
2020,OCEANIA,Quarter2,72
2020,OTHERS,Quarter2,3
2020,AFRICA,Quarter3,456
2020,AMERICAS,Quarter3,496
2020,ASIA,Quarter3,"42,784"
2020,EUROPE,Quarter3,"2,248"
2020,OCEANIA,Quarter3,417
2020,OTHERS,Quarter3,21
2020,AFRICA,Quarter4, 343 
2020,AMERICAS,Quarter4, 333 
2020,ASIA,Quarter4," 31,126 "
2020,EUROPE,Quarter4," 1,105 "
2020,OCEANIA,Quarter4, 375 
2020,OTHERS,Quarter4, 21 
2020,AFRICA,Total," 28,699 "
2020,AMERICAS,Total," 76,713 "
2020,ASIA,Total," 3,883,725 "
2020,EUROPE,Total," 260,423 "
2020,OCEANIA,Total," 82,601 "
2020,OTHERS,Total, 561 
