Code,Country,Year,Tourism expenditure (millions of US dollars),Tourist/visitor arrivals (thousands)
724,Spain,2021,34183.0,31181.0
729,Sudan,2021,1077.0,
740,Suriname,2021,14.0,
748,Eswatini,2021,8.0,170.0
752,Sweden,2021,6032.0,2990.0
756,Switzerland,2021,12125.0,4390.0
762,Tajikistan,2021,99.0,296.0
764,Thailand,2021,5276.0,428.0
776,Tonga,2021,9.0,0.0
780,Trinidad and Tobago,2021,60.0,41.0
784,United Arab Emirates,2021,34440.0,11479.0
788,Tunisia,2021,1241.0,2475.0
792,Türkiye,2021,27899.0,29925.0
796,Turks and Caicos Islands,2021,,405.0
798,Tuvalu,2021,0.0,0.0
800,Uganda,2021,942.0,513.0
804,Ukraine,2021,1387.0,3973.0
807,North Macedonia,2021,387.0,294.0
818,Egypt,2021,9499.0,
826,United Kingdom,2021,32959.0,6287.0
834,United Rep. of Tanzania,2021,1324.0,923.0
840,United States of America,2021,82974.0,22100.0
854,Burkina Faso,2021,,106.0
858,Uruguay,2021,588.0,
860,Uzbekistan,2021,553.0,1881.0
882,Samoa,2021,0.0,3.0
894,Zambia,2021,393.0,554.0
