STATE OF ORIGIN,STATE VISITED,Number of Tourists
PAHANG,PERAK,191.4
PULAU PINANG,PERAK,348.9
PERAK,PERAK,1308.7
PERLIS,PERAK,59.8
SELANGOR,PERAK,2628.7
TERENGGANU,PERAK,19.2
SABAH,PERAK,35.8
SARAWAK,PERAK,54.9
WP KUALA LUMPUR,PERAK,1009.6
WP LABUAN,PERAK,0.4
WP PUTRAJAYA,PERAK,30.7
MALAYSIA,PERLIS,710.991
JOHOR,PERLIS,78.514
KEDAH,PERLIS,155.594
KELANTAN,PERLIS,25.117
MELAKA,PERLIS,4.281
NEGERI SEMBILAN,PERLIS,23.493
PAHANG,PERLIS,37.434
PULAU PINANG,PERLIS,129.598
PERAK,PERLIS,42.116
PERLIS,PERLIS,23.931
SELANGOR,PERLIS,117.07
TERENGGANU,PERLIS,8.407
SABAH,PERLIS,2.535
SARAWAK,PERLIS,23.334
WP KUALA LUMPUR,PERLIS,36.775
WP LABUAN,PERLIS,0.053
WP PUTRAJAYA,PERLIS,2.739
MALAYSIA,SELANGOR,6388.8
JOHOR,SELANGOR,441.5
KEDAH,SELANGOR,211.4
KELANTAN,SELANGOR,544.9
MELAKA,SELANGOR,398.7
NEGERI SEMBILAN,SELANGOR,240.4
PAHANG,SELANGOR,422.5
PULAU PINANG,SELANGOR,128.7
PERAK,SELANGOR,343.8
PERLIS,SELANGOR,31.5
SELANGOR,SELANGOR,2505.4
TERENGGANU,SELANGOR,20.5
SABAH,SELANGOR,127.8
SARAWAK,SELANGOR,68.9
WP KUALA LUMPUR,SELANGOR,883.5
WP LABUAN,SELANGOR,11.0
WP PUTRAJAYA,SELANGOR,8.2
MALAYSIA,TERENGGANU,3689.3
JOHOR,TERENGGANU,162.8
KEDAH,TERENGGANU,87.5
KELANTAN,TERENGGANU,339.4
MELAKA,TERENGGANU,101.7
NEGERI SEMBILAN,TERENGGANU,220.7
PAHANG,TERENGGANU,729.7
PULAU PINANG,TERENGGANU,101.4
PERAK,TERENGGANU,70.6
PERLIS,TERENGGANU,5.6
SELANGOR,TERENGGANU,883.2
TERENGGANU,TERENGGANU,805.3
SABAH,TERENGGANU,22.3
SARAWAK,TERENGGANU,9.2
WP KUALA LUMPUR,TERENGGANU,127.5
WP LABUAN,TERENGGANU,1.9
WP PUTRAJAYA,TERENGGANU,20.5
MALAYSIA,SABAH,3823.0
JOHOR,SABAH,27.9
KEDAH,SABAH,17.6
KELANTAN,SABAH,35.5
MELAKA,SABAH,22.4
NEGERI SEMBILAN,SABAH,14.4
PAHANG,SABAH,29.6
PULAU PINANG,SABAH,24.6
PERAK,SABAH,17.5
PERLIS,SABAH,0.9
SELANGOR,SABAH,120.9
TERENGGANU,SABAH,15.8
SABAH,SABAH,3182.8
SARAWAK,SABAH,166.6
WP KUALA LUMPUR,SABAH,72.5
WP LABUAN,SABAH,70.5
WP PUTRAJAYA,SABAH,3.6
MALAYSIA,SARAWAK,3988.9
JOHOR,SARAWAK,13.6
KEDAH,SARAWAK,3.5
KELANTAN,SARAWAK,18.7
MELAKA,SARAWAK,3.8
NEGERI SEMBILAN,SARAWAK,15.2
PAHANG,SARAWAK,4.2
PULAU PINANG,SARAWAK,24.6
PERAK,SARAWAK,64.6
PERLIS,SARAWAK,1.9
SELANGOR,SARAWAK,100.8
TERENGGANU,SARAWAK,8.6
SABAH,SARAWAK,13.8
SARAWAK,SARAWAK,3685.9
WP KUALA LUMPUR,SARAWAK,24.9
WP LABUAN,SARAWAK,4.5
WP PUTRAJAYA,SARAWAK,0.4
MALAYSIA,WP KUALA LUMPUR,4117.095
JOHOR,WP KUALA LUMPUR,484.932
KEDAH,WP KUALA LUMPUR,182.047
KELANTAN,WP KUALA LUMPUR,327.606
MELAKA,WP KUALA LUMPUR,107.802
NEGERI SEMBILAN,WP KUALA LUMPUR,105.939
PAHANG,WP KUALA LUMPUR,376.728
PULAU PINANG,WP KUALA LUMPUR,381.174
PERAK,WP KUALA LUMPUR,424.855
PERLIS,WP KUALA LUMPUR,41.002
SELANGOR,WP KUALA LUMPUR,879.115
TERENGGANU,WP KUALA LUMPUR,188.33
SABAH,WP KUALA LUMPUR,267.278
SARAWAK,WP KUALA LUMPUR,195.039
WP KUALA LUMPUR,WP KUALA LUMPUR,128.26
WP LABUAN,WP KUALA LUMPUR,3.22
WP PUTRAJAYA,WP KUALA LUMPUR,23.768
MALAYSIA,WP LABUAN,111.658
JOHOR,WP LABUAN,5.689
KEDAH,WP LABUAN,1.056
KELANTAN,WP LABUAN,3.337
MELAKA,WP LABUAN,0.153
NEGERI SEMBILAN,WP LABUAN,4.544
PAHANG,WP LABUAN,7.423
PULAU PINANG,WP LABUAN,0.167
PERAK,WP LABUAN,4.008
PERLIS,WP LABUAN,2.303
SELANGOR,WP LABUAN,4.491
TERENGGANU,WP LABUAN,0.9
SABAH,WP LABUAN,50.41
SARAWAK,WP LABUAN,25.86
WP KUALA LUMPUR,WP LABUAN,0.074
WP LABUAN,WP LABUAN,0.986
WP PUTRAJAYA,WP LABUAN,0.282
MALAYSIA,WP PUTRAJAYA,367.989
JOHOR,WP PUTRAJAYA,63.131
KEDAH,WP PUTRAJAYA,17.542
KELANTAN,WP PUTRAJAYA,50.81
MELAKA,WP PUTRAJAYA,9.632
NEGERI SEMBILAN,WP PUTRAJAYA,18.18
PAHANG,WP PUTRAJAYA,51.867
PULAU PINANG,WP PUTRAJAYA,34.439
PERAK,WP PUTRAJAYA,51.154
PERLIS,WP PUTRAJAYA,1.243
SELANGOR,WP PUTRAJAYA,37.191
TERENGGANU,WP PUTRAJAYA,10.96
SABAH,WP PUTRAJAYA,3.566
SARAWAK,WP PUTRAJAYA,0.176
WP KUALA LUMPUR,WP PUTRAJAYA,17.903
WP LABUAN,WP PUTRAJAYA,0.128
WP PUTRAJAYA,WP PUTRAJAYA,0.067
